0,"Amiklubraut vidh Klambratun og vidh 365 er eiginlega naudhsyn adh setja undirgong Sem myndu henta reidhhjolafolki lika Thadh er otrulegt adh sja folk hlaupa tharna yfir thvi thadh annadhhvort nennir ekki adh bidha eftir graena kallinum edha timinn of stuttur Og oft er folk fast a milli aksturstefnanna Thetta er frekar obodhlegt Einnig tefja thessi ljos rosalega og virdhast ekki vera vel stillt vidh naestu umferdharljos"
0,"Villfa adh vita hverjir sau um skipulagsmalin vardhandi stadhsetningu thessarar byggingar Stadhsetningin er algjorlega ut ur Q Ekkert a moti Bauhaus er reyndar frekar spenntur yfir opnuninni AEttla ekki adh nefna herna allt sem er adh stadhsetningunni laet hvern og einn um thadh en hvadh var eiginlega i gangi vidh val a lodh? Vaeri tilvalidh adh baerinn hafdhi landslagsarkitekt a sinum snaerum geri radh fyrir adh svo se ekki nuna legg thetta daemi sem rok :"
0,"Tilvalidhadh fjarlaegja hverfastodhina og setja felagsmidhstodh i stadhinn Thessi hugmynd er annars stadhar i kerfinu lika"
1,"Hringtorga thessum stadh er ekki godh hugmynd fyrir gangandi og hjolandi Allt adhgengi fyrir thann hop yrdhi verra Gangandi og hjolandi fer fjolgandi i hverfinu og haegur umferdharhradhi og godhar gonguleidhir eru thadh besta sem vidh setjum tharna Hringtorg greidha fyrst og fremst fyrir umferdh bila en erfidhara er fyrir gangandi og hjolandi adh fara yfir gotu vidh inn og utkeyrslur af hringtorgi I dag er ekki meiri umferdh tharna en svo adh stundum tharf madhur adh bidha i sma stund ef madhur er a bil a haannatima"
0,"TdHornidh milli Lauglaeks og Sundlaugavegar maetti lyfta upp I tengslum vidh endurbaetur hjola og gonguleidha medhfram Sundlaugavegi verdha aningarstadhir Aningarstadhirnir eru hugsadhir sem hvildar edha saelureitur fyrir tha sem leidh eiga hja A aningarstodhunum er gert radh fyrir bekkjum og grodhursetningu trjaa i tengslum vidh grodhursetningu trjaa medhfram Sundlaugavegi Tengil adh vefsidhu sem er hugmynd adh deiluskipulagi TEIGAR NORDhAN SUNDLAUGAVEGAR REITIR 1 346 OG 1 347"
1,"Finnstthessi tilhogun vera betri en stungidh er upp a Thegar ekidh er i midhbaeinn eftir Saebraut tha er thessi akstursleidh fljotlegasta leidhin til adh komst yfir i mela hverfidh Nidhur Hofsvallagou Thegar gatnamotin voru eins og lagt er til tha var oft rodh nidhur adh ljosum og tafir Flaedhidh er betra svona Thadh sem vantar mest i skipulag gatnakerfisins er adh hugsa um thadh se gott flaedhi a umferdhinni Nu i dag er allt of morg ljos"
0,"Thadher mikilvaegt adh setja upp thradhlausa nettengingu vegna aukins fjolda snjalltaekja og aukinna verkefna sem tharfnast nettengingar eins og lydhraedhisverkefni sem notar samfelagsmidhla"
0,"Mikidhaf fjolskyldum og bornum i hverfinu stydhur vidh fjolskyldumenningu vidh Hlemm i stadh thess stimpils sem hefur lodhadh vidh svaedhidh !"
1,"EfHolsvegi er breytt i einstefnugotu thannig adh adheins verdhi leyfdhur akstur nidhur Holsveg tha minnkar slysahaettan verulega"
1,"Thadher nog plass nu thegar fyrir utan byggingar fyrir tha sem kjosa adh hjola"
